id,link,descr_short,price,screen_size,resolution,cpu,ram,hdd_ssd,gpu,os
9935207,/product/052b5514141214d8/156-noutbuk-lenovo-ideapad-3-15itl6-seryj/,"15.6"" Ноутбук Lenovo IdeaPad 3 15ITL6 серый [Full HD (1920x1080), TN+film, Intel Core i3-1115G4, ядра: 2 х 3 ГГц, RAM 8 ГБ, SSD 512 ГБ, Intel UHD Graphics , без ОС]",279990,15.6,1920x1080,Intel Core i3-1115G4,8,512,Intel UHD Graphics,без ОС
5362374,/product/94bb5561b5832ff4/156-noutbuk-lenovo-v15-g2-alc-cernyj/,"15.6"" Ноутбук Lenovo V15 G2 ALC черный [Full HD (1920x1080), TN+film, AMD Ryzen 5 5500U, ядра: 6 х 2.1 ГГц, RAM 8 ГБ, SSD 256 ГБ, AMD Radeon Graphics , без ОС]",279990,15.6,1920x1080,AMD Ryzen 5 5500U,8,256,AMD Radeon Graphics,без ОС
5071172,/product/a90f67912cf8ed20/156-noutbuk-xiaomi-redmibook-15-seryj/,"15.6"" Ноутбук Xiaomi RedmiBook 15 серый [Full HD (1920x1080), TN+film, Intel Core i3-1115G4, ядра: 2 х 3 ГГц, RAM 8 ГБ, SSD 256 ГБ, Intel UHD Graphics , Windows 11 Home]",279990,15.6,1920x1080,Intel Core i3-1115G4,8,256,Intel UHD Graphics,Windows 11 Home
4900547,/product/5be5cf80a00a6200/14-noutbuk-asus-expertbook-b1-b1400ceae-ek2241r-sinij/,"14"" Ноутбук ASUS ExpertBook B1 B1400CEAE-EK2241R синий [Full HD (1920x1080), TN+film, Intel Core i3-1115G4, ядра: 2 х 3 ГГц, RAM 8 ГБ, SSD 512 ГБ, Intel UHD Graphics , Windows 10 Pro]",289990,14,1920x1080,Intel Core i3-1115G4,8,512,Intel UHD Graphics,Windows 10 Pro
4900307,/product/415f5242691ed050/14-noutbuk-asus-vivobook-14-k413ea-ek2384w-serebristyj/,"14"" Ноутбук ASUS Vivobook 14 K413EA-EK2384W серебристый [Full HD (1920x1080), IPS, Intel Core i3-1115G4, ядра: 2 х 3 ГГц, RAM 8 ГБ, SSD 256 ГБ, Intel UHD Graphics , Windows 11 Pro]",289990,14,1920x1080,Intel Core i3-1115G4,8,256,Intel UHD Graphics,Windows 11 Pro
5324450,/product/1e24a743aedb2eb0/156-noutbuk-acer-extensa-15-ex215-22-r5nc-cernyj/,"15.6"" Ноутбук Acer Extensa 15 EX215-22-R5NC черный [Full HD (1920x1080), TN+film, AMD Ryzen 3 3250U, ядра: 2 х 2.6 ГГц, RAM 4 ГБ, SSD 256 ГБ, AMD Radeon Graphics , Windows 10 Home Single Language]",289990,15.6,1920x1080,AMD Ryzen 3 3250U,4,256,AMD Radeon Graphics,Windows 10 Home Single Language
5324928,/product/91e6af13b2d42eb0/156-noutbuk-lenovo-ideapad-l340-15api-seryj/,"15.6"" Ноутбук Lenovo IdeaPad L340-15API серый [Full HD (1920x1080), TN+film, AMD Ryzen 3 3200U, ядра: 2 х 2.6 ГГц, RAM 8 ГБ, HDD 1000 ГБ, SSD 128 ГБ, AMD Radeon Vega 3 , без ОС]",289990,15.6,1920x1080,AMD Ryzen 3 3200U,8,1000,AMD Radeon Vega 3,без ОС
4900545,/product/7430da8f9f5a6200/14-noutbuk-asus-vivobook-x415ea-eb533-seryj/,"14"" Ноутбук ASUS VivoBook X415EA-EB533 серый [Full HD (1920x1080), IPS, Intel Core i5-1135G7, ядра: 4 х 2.4 ГГц, RAM 8 ГБ, SSD 512 ГБ, Intel Iris Xe Graphics , без ОС]",299990,14,1920x1080,Intel Core i5-1135G7,8,512,Intel Iris Xe Graphics,без ОС
5015707,/product/2cfd92028e5eed20/14-noutbuk-hp-240-g8-seryj/,"14"" Ноутбук HP 240 G8 серый [Full HD (1920x1080), IPS, Intel Core i3-1005G1, ядра: 2 х 1.2 ГГц, RAM 8 ГБ, SSD 256 ГБ, Intel UHD Graphics , Windows 10 Home Single Language]",299990,14,1920x1080,Intel Core i3-1005G1,8,256,Intel UHD Graphics,Windows 10 Home Single Language
5317667,/product/7d6dfb1c91183333/14-ultrabuk-msi-modern-14-b11m-265xkz-seryj/,"14"" Ультрабук MSI Modern 14 B11M-265XKZ серый [Full HD (1920x1080), IPS, Intel Core i3-1115G4, ядра: 2 х 3 ГГц, RAM 8 ГБ, SSD 512 ГБ, Intel UHD Graphics , без ОС]",299990,14,1920x1080,Intel Core i3-1115G4,8,512,Intel UHD Graphics,без ОС
4900671,/product/e3f27820b1806200/156-noutbuk-asus-expertbook-l1-l1500cda-bq0609t-sinij/,"15.6"" Ноутбук ASUS ExpertBook L1 L1500CDA-BQ0609T синий [Full HD (1920x1080), IPS, AMD Ryzen 3 3250U, ядра: 2 х 2.6 ГГц, RAM 8 ГБ, SSD 512 ГБ, AMD Radeon Graphics , Windows 10 Home Single Language]",299990,15.6,1920x1080,AMD Ryzen 3 3250U,8,512,AMD Radeon Graphics,Windows 10 Home Single Language
